Listing of Grid Distortion Data

File : F:\Dropbox\Eduardo Fundus camera\Real 3mm pupil\fund41 MTF 3mm pupil 2mm air gap 90deg field..zmx
Title: 
Date : 8/21/2018
Configuration 1 of 5

Units are Millimeters.
Field units are degrees
WARNING: Field units have been changed from real image height to field angle.
Wavelength: 0.47000 ?m
Reference Coordinates: Xref =  0.00000E+00, Yref =  5.39847E-05
 -12  -12 Ray Error
 -12   12 Ray Error
  12  -12 Ray Error
  12   12 Ray Error

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
  -8	 -10	 -2.30116E+01	 -2.79857E+01	  3.42596E+01	  2.58639E+00	  3.23300E+00	  2.27227E+00	  2.84010E+00	   -12.149907%
  -8	  -9	 -2.30116E+01	 -2.55618E+01	  3.26340E+01	  2.58639E+00	  2.90970E+00	  2.29636E+00	  2.58318E+00	   -11.218265%
  -8	  -8	 -2.30116E+01	 -2.30357E+01	  3.10302E+01	  2.58639E+00	  2.58640E+00	  2.32047E+00	  2.32027E+00	   -10.285711%
  -8	  -7	 -2.30116E+01	 -2.04113E+01	  2.94735E+01	  2.58639E+00	  2.26310E+00	  2.34374E+00	  2.05059E+00	    -9.385506%
  -8	  -6	 -2.30116E+01	 -1.76943E+01	  2.79951E+01	  2.58639E+00	  1.93980E+00	  2.36546E+00	  1.77393E+00	    -8.545362%
  -8	  -5	 -2.30116E+01	 -1.48927E+01	  2.66315E+01	  2.58639E+00	  1.61650E+00	  2.38499E+00	  1.49047E+00	    -7.789644%
  -8	  -4	 -2.30116E+01	 -1.20163E+01	  2.54246E+01	  2.58639E+00	  1.29320E+00	  2.40179E+00	  1.20076E+00	    -7.139789%
  -8	  -3	 -2.30116E+01	 -9.07711E+00	  2.44193E+01	  2.58639E+00	  9.69900E-01	  2.41537E+00	  9.05638E-01	    -6.614118%
  -8	  -2	 -2.30116E+01	 -6.08901E+00	  2.36600E+01	  2.58639E+00	  6.46600E-01	  2.42536E+00	  6.06221E-01	    -6.227440%
  -8	  -1	 -2.30116E+01	 -3.06731E+00	  2.31853E+01	  2.58639E+00	  3.23300E-01	  2.43147E+00	  3.03820E-01	    -5.990666%
  -8	   0	 -2.30116E+01	 -2.84622E-02	  2.30219E+01	  2.58639E+00	 -0.00000E+00	  2.43353E+00	 -1.11593E-04	    -5.910485%
  -8	   1	 -2.30116E+01	  3.01055E+00	  2.31793E+01	  2.58639E+00	 -3.23300E-01	  2.43148E+00	 -3.04048E-01	    -5.989170%
  -8	   2	 -2.30116E+01	  6.03272E+00	  2.36484E+01	  2.58639E+00	 -6.46600E-01	  2.42538E+00	 -6.06462E-01	    -6.224505%
  -8	   3	 -2.30116E+01	  9.02159E+00	  2.44027E+01	  2.58639E+00	 -9.69900E-01	  2.41540E+00	 -9.05899E-01	    -6.609857%
  -8	   4	 -2.30116E+01	  1.19618E+01	  2.54037E+01	  2.58639E+00	 -1.29320E+00	  2.40182E+00	 -1.20105E+00	    -7.134370%
  -8	   5	 -2.30116E+01	  1.48395E+01	  2.66073E+01	  2.58639E+00	 -1.61650E+00	  2.38502E+00	 -1.49079E+00	    -7.783287%
  -8	   6	 -2.30116E+01	  1.76427E+01	  2.79684E+01	  2.58639E+00	 -1.93980E+00	  2.36548E+00	 -1.77428E+00	    -8.538339%
  -8	   7	 -2.30116E+01	  2.03613E+01	  2.94451E+01	  2.58639E+00	 -2.26310E+00	  2.34375E+00	 -2.05096E+00	    -9.378136%
  -8	   8	 -2.30116E+01	  2.29875E+01	  3.10005E+01	  2.58639E+00	 -2.58640E+00	  2.32046E+00	 -2.32066E+00	   -10.278370%
  -8	   9	 -2.30116E+01	  2.55154E+01	  3.26037E+01	  2.58639E+00	 -2.90970E+00	  2.29632E+00	 -2.58358E+00	   -11.211421%
  -8	  10	 -2.30116E+01	  2.79413E+01	  3.42291E+01	  2.58639E+00	 -3.23300E+00	  2.27218E+00	 -2.84047E+00	   -12.144236%
  -8	  11	 -2.30116E+01	  3.02629E+01	  3.58563E+01	  2.58639E+00	 -3.55630E+00	  2.24924E+00	 -3.09297E+00	   -13.030969%
  -8	  12	 -2.30116E+01	  3.24798E+01	  3.74695E+01	  2.58639E+00	 -3.87960E+00	  2.22968E+00	 -3.34479E+00	   -13.787195%
  -7	 -12	 -2.03863E+01	 -3.25202E+01	  3.64670E+01	  2.26309E+00	  3.87960E+00	  1.96165E+00	  3.36256E+00	   -13.325352%
  -7	 -11	 -2.03863E+01	 -3.03053E+01	  3.47423E+01	  2.26309E+00	  3.55630E+00	  1.98215E+00	  3.11457E+00	   -12.419165%
  -7	 -10	 -2.03863E+01	 -2.79857E+01	  3.29911E+01	  2.26309E+00	  3.23300E+00	  2.00466E+00	  2.86357E+00	   -11.424508%
  -7	  -9	 -2.03863E+01	 -2.55618E+01	  3.12287E+01	  2.26309E+00	  2.90970E+00	  2.02782E+00	  2.60699E+00	   -10.400656%
  -7	  -8	 -2.03863E+01	 -2.30357E+01	  2.94756E+01	  2.26309E+00	  2.58640E+00	  2.05077E+00	  2.34356E+00	    -9.386064%
  -7	  -7	 -2.03863E+01	 -2.04113E+01	  2.77580E+01	  2.26309E+00	  2.26310E+00	  2.07281E+00	  2.07265E+00	    -8.411788%
  -7	  -6	 -2.03863E+01	 -1.76943E+01	  2.61096E+01	  2.26309E+00	  1.93980E+00	  2.09331E+00	  1.79413E+00	    -7.505350%
  -7	  -5	 -2.03863E+01	 -1.48927E+01	  2.45718E+01	  2.26309E+00	  1.61650E+00	  2.11172E+00	  1.50824E+00	    -6.691666%
  -7	  -4	 -2.03863E+01	 -1.20163E+01	  2.31943E+01	  2.26309E+00	  1.29320E+00	  2.12752E+00	  1.21561E+00	    -5.992967%
  -7	  -3	 -2.03863E+01	 -9.07711E+00	  2.20329E+01	  2.26309E+00	  9.69900E-01	  2.14028E+00	  9.17162E-01	    -5.428367%
  -7	  -2	 -2.03863E+01	 -6.08901E+00	  2.11461E+01	  2.26309E+00	  6.46600E-01	  2.14966E+00	  6.14096E-01	    -5.013358%
  -7	  -1	 -2.03863E+01	 -3.06731E+00	  2.05870E+01	  2.26309E+00	  3.23300E-01	  2.15540E+00	  3.07825E-01	    -4.759352%
  -7	   0	 -2.03863E+01	 -2.84622E-02	  2.03936E+01	  2.26309E+00	 -0.00000E+00	  2.15733E+00	 -8.72565E-05	    -4.673347%
  -7	   1	 -2.03863E+01	  3.01055E+00	  2.05799E+01	  2.26309E+00	 -3.23300E-01	  2.15541E+00	 -3.08005E-01	    -4.757716%
  -7	   2	 -2.03863E+01	  6.03272E+00	  2.11325E+01	  2.26309E+00	 -6.46600E-01	  2.14969E+00	 -6.14290E-01	    -5.010140%
  -7	   3	 -2.03863E+01	  9.02159E+00	  2.20136E+01	  2.26309E+00	 -9.69900E-01	  2.14032E+00	 -9.17380E-01	    -5.423683%
  -7	   4	 -2.03863E+01	  1.19618E+01	  2.31704E+01	  2.26309E+00	 -1.29320E+00	  2.12756E+00	 -1.21586E+00	    -5.986985%
  -7	   5	 -2.03863E+01	  1.48395E+01	  2.45444E+01	  2.26309E+00	 -1.61650E+00	  2.11176E+00	 -1.50853E+00	    -6.684612%
  -7	   6	 -2.03863E+01	  1.76427E+01	  2.60797E+01	  2.26309E+00	 -1.93980E+00	  2.09335E+00	 -1.79444E+00	    -7.497501%
  -7	   7	 -2.03863E+01	  2.03613E+01	  2.77264E+01	  2.26309E+00	 -2.26310E+00	  2.07284E+00	 -2.07300E+00	    -8.403467%
  -7	   8	 -2.03863E+01	  2.29875E+01	  2.94430E+01	  2.26309E+00	 -2.58640E+00	  2.05078E+00	 -2.34393E+00	    -9.377641%
  -7	   9	 -2.03863E+01	  2.55154E+01	  3.11958E+01	  2.26309E+00	 -2.90970E+00	  2.02781E+00	 -2.60738E+00	   -10.392560%
  -7	  10	 -2.03863E+01	  2.79413E+01	  3.29582E+01	  2.26309E+00	 -3.23300E+00	  2.00461E+00	 -2.86395E+00	   -11.417290%
  -7	  11	 -2.03863E+01	  3.02629E+01	  3.47097E+01	  2.26309E+00	 -3.55630E+00	  1.98206E+00	 -3.11490E+00	   -12.413680%
  -7	  12	 -2.03863E+01	  3.24798E+01	  3.64350E+01	  2.26309E+00	 -3.87960E+00	  1.96147E+00	 -3.36277E+00	   -13.323313%
  -6	 -12	 -1.76685E+01	 -3.25202E+01	  3.55155E+01	  1.93980E+00	  3.87960E+00	  1.69085E+00	  3.38145E+00	   -12.838989%
  -6	 -11	 -1.76685E+01	 -3.03053E+01	  3.36813E+01	  1.93980E+00	  3.55630E+00	  1.71059E+00	  3.13586E+00	   -11.820975%
